customer_id,customer_name,pet_name,pet_type,pet_birthday
63,Tina Hunt,Peter,Golden Retriever,2009/03/01
64,Dylan Stephenson,Autumn,Dachshund,2013/03/22
65,Kimberly Wright,Matthew,German Shepherd,2010/10/25
66,Nicholas Parker,Victor,Rottweiler,2023/06/21
67,Frank Schmidt,Kelly,Pug,2017/06/03
68,Barbara Evans,John,Rottweiler,2011/02/08
69,Jason Madden,Savannah,Golden Retriever,2020/10/25
70,Curtis Wilson,Julie,German Shepherd,2010/12/31
71,Brent Wright,Melissa,Bulldog,2024/12/11
72,Robert Mccoy,Kenneth,Beagle,2011/10/09
73,Brandon Walker,Robin,Rottweiler,2021/09/29
74,Kristin Boyd,Brittany,Pug,2015/09/27
75,Jason Morales,Jeffrey,Rottweiler,2016/05/31
76,Michele Olson,Justin,Labrador Retriever,2009/11/20
77,Samuel Wiley,Jo,Bulldog,2016/06/25
78,Carl Barker,Melissa,Labrador Retriever,2024/08/03
79,Lisa Graham,David,Golden Retriever,2023/03/02
80,Michael Vance,Danielle,Labrador Retriever,2016/03/30
81,Thomas Mclaughlin,Matthew,Pug,2020/02/07
82,Angela Rogers,Robert,Beagle,2014/07/17
83,Jason Hernandez,Kenneth,Chihuahua,2023/01/02
84,Brooke Williams,Lisa,Golden Retriever,2024/08/17
85,Andrew Williams,Michael,Pug,2012/07/01
86,Courtney Thomas,Timothy,Dachshund,2017/04/04
87,Kimberly Underwood,Eric,Bulldog,2010/07/24
88,Mrs. Lori Kennedy,Taylor,Labrador Retriever,2014/11/25
89,Elizabeth Smith,Susan,Poodle,2017/07/08
90,Sarah Strickland,John,Bulldog,2010/11/30
91,Kristin Lowe,Lisa,Chihuahua,2016/09/18
92,Luke Dominguez,Krista,Bulldog,2012/01/13
93,Thomas Wilson,Benjamin,Poodle,2015/04/02
94,Timothy Bailey,Nathan,German Shepherd,2016/06/16
95,Justin Spencer,Jennifer,Golden Retriever,2009/03/31
96,Joseph Hernandez,Fred,Golden Retriever,2016/06/06
97,Mark Obrien,Thomas,Labrador Retriever,2022/11/02
98,Joshua Adkins,Sarah,Pug,2015/07/19
99,Lisa Mooney,Ashley,Bulldog,2009/02/05
100,Chelsea Oconnor,Julie,Beagle,2010/07/21
101,Rebecca Martin,Jill,Labrador Retriever,2010/07/01
102,Mary Garcia,Melanie,Poodle,2020/03/17
103,Melissa Bradley,Margaret,Labrador Retriever,2019/10/05
104,Steven Nelson,Jennifer,Pug,2011/05/21
105,Pamela Phillips,Jeffrey,Chihuahua,2011/02/17
106,Rachel Thomas,Brian,Chihuahua,2023/03/12
107,Jamie Ramos,Emma,Golden Retriever,2013/04/14
108,Barbara Jackson,Alexandra,Dachshund,2011/09/28
109,Tabitha Trujillo,Michael,Golden Retriever,2020/12/04
110,Courtney Reed,Ryan,Bulldog,2014/10/01
111,Andrew Alvarez,Madison,Poodle,2023/02/17
112,Caleb Moore,Tina,Pug,2015/07/05
113,David Barnett,Jonathan,Beagle,2015/06/24
114,Michael Moore,Michael,Dachshund,2010/06/12
115,Charles Chambers,Emily,Labrador Retriever,2018/11/25
116,Diana Green,Megan,Bulldog,2009/05/12
117,Phillip Martinez,Robert,Golden Retriever,2012/05/30
118,Amy Stevens,Joshua,Beagle,2019/05/11
119,Mr. Michael Sanford,Kathleen,Labrador Retriever,2018/12/31
120,Victor Pena,Garrett,Pug,2017/06/22
121,Alicia Lopez,Jessica,Beagle,2024/06/26
122,Felicia Mahoney,Paul,Golden Retriever,2021/09/26
123,Katherine Oconnor,Crystal,Chihuahua,2021/02/11
124,Jared Campbell,Michelle,Rottweiler,2010/02/23
125,Jeffrey Parker,Kevin,Rottweiler,2023/04/16
126,Jodi Osborne,Timothy,Bulldog,2016/07/09
127,Samantha Ford,Sheila,German Shepherd,2017/04/06
128,Michelle Carson,Cindy,Poodle,2014/03/17
129,Marissa Whitney,Deborah,Bulldog,2014/03/04
130,Kristie Wilson,Lee,Bulldog,2017/01/29
131,Sophia Riley,Benjamin,German Shepherd,2023/11/03
132,Bradley Joyce,Joseph,Bulldog,2014/02/15
133,Stephanie Johnson,Sandra,Beagle,2010/06/29
134,Benjamin Kramer,Kristin,Pug,2020/06/15
135,Darren Richardson,Carla,Rottweiler,2014/08/12
136,Joseph Vega,Sheila,Poodle,2009/02/24
137,Paul Duran,Paul,Pug,2014/04/02
138,Monica Frazier DDS,Steven,Labrador Retriever,2012/03/10
139,Tanya Villegas,Richard,Dachshund,2020/02/28
140,Vanessa Moore,Katherine,Labrador Retriever,2015/02/01
141,Taylor Vargas,Karen,German Shepherd,2013/07/15
142,Deborah Stone,Thomas,Dachshund,2010/07/07
143,Stephen Johnston,Keith,Poodle,2013/03/07
144,Jermaine Ramirez,Michelle,Chihuahua,2024/05/24
145,Jennifer Bentley,Timothy,Poodle,2016/03/30
146,Marcus Wheeler,Adam,Bulldog,2009/01/28
147,Dennis Bell,Denise,Pug,2009/08/16
148,John Grant,Mark,Chihuahua,2020/01/29
149,Megan Smith,Andrea,Golden Retriever,2012/02/14
150,Heather Moreno,Lynn,Beagle,2017/07/05
151,Robert Bailey,Lawrence,Rottweiler,2021/04/12
152,Amanda Brown,Kyle,Rottweiler,2023/02/01
153,Bryan Stewart,John,Rottweiler,2021/02/21
154,Colleen Burch,David,Rottweiler,2010/06/10
155,Kaylee Morales,Natasha,Poodle,2016/12/30
156,Sharon Blevins,Patrick,Bulldog,2015/02/04
157,Thomas Pierce,Joshua,Rottweiler,2020/08/03
158,Arthur Delacruz,Jason,Rottweiler,2012/06/17
159,Aaron Rodriguez,Beverly,Poodle,2011/09/24
160,Sydney Cole,Stephanie,Golden Retriever,2013/12/02
161,William Phillips,Carolyn,Dachshund,2012/09/30
162,Erin Nguyen,Bryan,Dachshund,2024/10/20
163,Joseph Wang,Andrea,Beagle,2021/12/28
164,Michael Villanueva,Michael,Pug,2024/08/31
165,Charles Zhang,Tracie,Pug,2009/12/25
166,Steven Thompson,Bruce,Rottweiler,2016/12/09
167,Danielle Smith,Shannon,Poodle,2013/04/22
168,Devin Jones,David,Poodle,2016/02/20
169,Matthew Calderon,Carolyn,German Shepherd,2018/05/30
170,Gary Alexander,Ricky,Beagle,2019/08/12
171,Charles Ramos,Colleen,Beagle,2024/06/24
172,Kimberly Rodriguez,Jamie,Dachshund,2018/01/17
173,Sharon Gonzalez,Kimberly,Poodle,2015/04/08
174,Michael Dixon,Michael,Pug,2022/03/10
175,David Anderson,Samuel,Pug,2022/10/08
176,Matthew Wong,Katherine,Labrador Retriever,2024/12/01
177,Patrick Wolfe,Linda,Beagle,2009/12/22
178,James Woods,Brandon,Beagle,2012/11/03
179,Alexander Johnson,Maurice,Dachshund,2024/10/15
180,John Reynolds,Robert,Rottweiler,2016/08/29
181,Steven Anderson,Amanda,German Shepherd,2012/04/05
182,Mary King,Tiffany,Labrador Retriever,2023/07/23
183,Michael Hernandez,Carly,Chihuahua,2011/09/12
184,Julie Douglas,Robert,German Shepherd,2012/10/25
185,Valerie Hernandez,Rebecca,Poodle,2014/09/07
186,Jeffrey Mills,Jason,Chihuahua,2009/10/22
187,Scott Jones,Adrienne,German Shepherd,2019/05/02
188,Chelsea Hodge,Kimberly,Rottweiler,2014/01/17
189,Derek Macias,Kimberly,Golden Retriever,2011/02/10
190,Olivia Silva,Brittany,Dachshund,2021/06/24
191,Mark Martin,Carlos,Dachshund,2022/07/13
192,Beverly Thomas,Paula,Poodle,2010/08/23
193,Tammy Reed,Rebecca,German Shepherd,2023/04/16
194,Rodney Stevens,Sarah,Labrador Retriever,2015/11/27
195,Timothy Huff,Mary,Poodle,2023/12/01
196,Sandra Burgess,Tony,Chihuahua,2022/05/09
197,Terrance Whitney,Ryan,Labrador Retriever,2014/07/29
198,Denise Haas,Kimberly,Pug,2017/04/11
199,Regina Wilson,Jonathon,Labrador Retriever,2021/04/16
200,Robert Wilson,Nathan,Beagle,2018/05/14
201,Drew Leon,Glen,Labrador Retriever,2016/11/12
202,Stanley Calderon,Dennis,German Shepherd,2021/01/02
203,Willie Reid,Lonnie,Labrador Retriever,2012/02/20
204,John Padilla,Brenda,Pug,2021/07/30
205,Brittany Sullivan,Brian,Labrador Retriever,2024/03/08
206,Randy Williams,Ryan,German Shepherd,2024/06/18
207,Thomas Montgomery,James,Dachshund,2013/08/11
208,Lynn Bennett,Michael,Rottweiler,2014/07/19
209,Victor Washington,Nicole,German Shepherd,2019/11/20
210,Jason Phillips,Grace,Poodle,2012/05/18
211,Charles Griffin,Mary,Dachshund,2023/08/29
212,Gary Cain,Cody,Dachshund,2020/03/12
213,Andrea Thomas,Anthony,Dachshund,2011/10/31
214,Tracey Carter,Lee,Beagle,2010/11/02
215,Lindsey Williams,Russell,Labrador Retriever,2017/11/28
216,Timothy Ryan,Brittany,Rottweiler,2011/01/13
217,Michael Schneider,Stephanie,German Shepherd,2021/03/30
218,Ethan Thompson,Jonathan,Golden Retriever,2021/09/30
219,John Arroyo,Michael,Poodle,2021/02/07
220,Michael Lopez,Lori,Chihuahua,2013/12/06
221,Christopher Kline,Paul,Labrador Retriever,2020/04/28
222,Stephanie Patterson,Jennifer,German Shepherd,2010/10/07
223,Jill Huang,Oscar,Beagle,2013/09/06
224,Brian Brown,Alyssa,Beagle,2011/07/23
225,Christina White,Jennifer,Labrador Retriever,2015/11/16
226,Amy Adams,Tara,Beagle,2017/09/11
227,Danielle Kaiser,Robert,Poodle,2019/10/14
228,Becky Miller,Larry,Pug,2020/05/11
229,Ryan Wilkinson,Christopher,Rottweiler,2022/06/26
230,Cynthia Johnson,Jennifer,Chihuahua,2020/07/15
231,Laura Delacruz,James,Poodle,2014/07/18
232,Carl Martinez,Sandra,Labrador Retriever,2016/07/07
233,Victoria Page,Anne,Bulldog,2014/01/22
234,Joanna Blake,Danny,Bulldog,2015/08/17
235,Marcus Bradford,Timothy,Labrador Retriever,2022/04/05
236,Joshua Johnson,Maria,Beagle,2015/04/19
237,Tony Buckley,Glenda,Pug,2020/05/09
238,Omar Roberts,Kristina,Bulldog,2013/09/10
239,Mark Gonzalez,Antonio,Labrador Retriever,2009/02/23
240,Angie Ellis,Joseph,Bulldog,2022/12/23
241,Steven Phillips,Erin,Labrador Retriever,2013/11/13
242,Jonathan Watkins,Jessica,Chihuahua,2021/07/23
243,Cindy Moreno,Fred,Bulldog,2012/05/19
244,Cody Cordova,Jeffrey,German Shepherd,2016/02/24
245,Maurice Edwards,Kristie,Labrador Retriever,2013/11/29
246,Jamie Young,Elizabeth,German Shepherd,2018/12/25
247,Linda Flores,Michael,Rottweiler,2024/10/18
248,Gary Mills,Alan,German Shepherd,2020/06/05
249,Nicole Johnson,Frank,Chihuahua,2015/03/21
250,Christopher Torres,Sherry,Bulldog,2016/12/17
251,Patrick Robinson,Robin,Beagle,2015/03/29
252,Tamara Anderson,Christian,Rottweiler,2015/10/25
253,Brian Arnold,Christina,Chihuahua,2018/03/12
254,Megan Kennedy,Craig,Dachshund,2013/05/05
255,Jody Tran,Jessica,Poodle,2024/11/23
256,Rebecca Perkins,Laura,Labrador Retriever,2012/12/17
257,Brian Marshall,James,Labrador Retriever,2014/03/15
258,Sean Garza,Parker,Golden Retriever,2011/07/28
259,Kylie Stephens,Jason,Poodle,2014/12/27
260,Christopher Williams,Jacqueline,Dachshund,2012/06/06
261,Matthew David,Kelly,Labrador Retriever,2012/12/27
262,Paul Melton,John,Bulldog,2009/07/28
263,Kimberly Wilson,Heather,Poodle,2024/07/21
264,John Banks,Erica,Golden Retriever,2018/11/20
265,Robert Garcia,Amber,Dachshund,2011/07/31
266,Diane Coleman,Aaron,Rottweiler,2019/06/01
267,John Gomez,Nicole,Pug,2017/09/18
268,Robin Jones,James,Bulldog,2010/08/18
269,Jeffrey James,Matthew,Chihuahua,2021/04/02
270,Michael Trevino,Denise,Pug,2021/03/15
271,Victor Nichols,Adam,Chihuahua,2024/10/17
272,Monica Collins,Brenda,Chihuahua,2011/04/19
273,Kelly Welch,Amanda,Dachshund,2013/03/14
274,Andrew Jackson,Wendy,Poodle,2019/06/24
275,Troy King,Rebecca,Golden Retriever,2018/02/02
276,Yvonne Spencer,Leah,Rottweiler,2012/11/14
277,Sherry Stanley,Ashley,German Shepherd,2014/04/17
278,Elizabeth Reynolds,Patricia,German Shepherd,2022/09/22
279,Jonathan Hall,Wendy,Rottweiler,2022/02/14
280,Craig Morgan DDS,Michael,Poodle,2010/05/02
281,Taylor Palmer,Ethan,Dachshund,2015/11/20
282,George Copeland,Carolyn,Pug,2017/05/04
283,Mrs. Sydney Vega,Amy,Golden Retriever,2024/11/12
284,John Ramos,Kimberly,Rottweiler,2018/06/21
285,Jordan Moore,Tiffany,Labrador Retriever,2023/09/25
286,Michael Houston,Valerie,Bulldog,2009/10/03
287,Amy Gonzalez,Kristin,Chihuahua,2024/07/30
288,Joshua Thompson,Patrick,Rottweiler,2010/11/04
289,Ann Cross,Brandi,Poodle,2014/03/30
290,Dean Lawrence,Alexandra,Chihuahua,2018/01/09
291,Jeffrey Morales,Kevin,Bulldog,2018/11/28
292,Dawn Dean,Jacob,Golden Retriever,2024/05/04
293,Barbara Ray,Tiffany,Labrador Retriever,2011/05/05
294,Jessica Taylor,Erin,Bulldog,2014/05/18
295,Darryl Alvarado,Mackenzie,Bulldog,2020/11/23
296,Paula Kane,Heidi,Dachshund,2010/01/27
297,Steven Perez,William,Dachshund,2010/11/21
298,Nicholas Delacruz,Thomas,Golden Retriever,2017/12/14
299,Shari Holmes,Aaron,Chihuahua,2012/11/10
300,Sabrina Hood,Alexis,Rottweiler,2014/06/08
301,Carmen Osborne,Kathryn,Dachshund,2010/04/16
302,John Harper MD,Kimberly,German Shepherd,2014/10/30
303,John Nelson,Nicole,German Shepherd,2011/08/26
304,Ashley Myers,Tonya,Rottweiler,2009/05/01
305,Kevin Hoover,Martin,Chihuahua,2016/01/18
306,Robert Fisher,Wesley,Pug,2009/05/25
307,Phillip Rodriguez,Alison,Labrador Retriever,2022/12/01
308,Katie Stevens,Lisa,Chihuahua,2024/09/20
309,Christine Wheeler,William,Labrador Retriever,2018/03/13
310,Brett Sloan,Michael,Pug,2013/09/08
311,Michele Chen,Brian,German Shepherd,2018/11/30
312,Mark Smith,John,German Shepherd,2012/02/03
313,Shane Dunn,Kathy,German Shepherd,2016/03/07
314,Lisa Smith,Daniel,Chihuahua,2019/11/27
315,Michele Thomas,Stephen,Poodle,2018/01/27
316,Jeanne Tucker,Sara,Chihuahua,2013/08/19
317,Carla Jackson,Tony,Golden Retriever,2015/06/03
318,Caleb Baker,Robert,German Shepherd,2020/10/20
319,Adam Vasquez,Dawn,Pug,2018/03/20
320,Samuel Harrison,Marissa,Bulldog,2015/03/09
321,Heather Little,Jeremy,Dachshund,2018/12/22
322,Beth Martin,Erica,Chihuahua,2022/01/05
323,Sandra Turner,Amy,Labrador Retriever,2015/01/11
324,Stacie Rodriguez,Kimberly,Dachshund,2010/06/11
325,Regina Carpenter,Kimberly,Poodle,2019/11/07
326,Christopher Perez,Sheila,German Shepherd,2013/03/28
327,James Taylor,Donna,Bulldog,2020/02/18
328,Andrea Ray,Melissa,Labrador Retriever,2009/08/28
329,Melissa Gilbert,Kevin,Bulldog,2014/12/18
330,Stanley Miller,Damon,Poodle,2016/01/25
331,Erik Crawford,Ernest,Chihuahua,2021/01/10
332,Brooke Wright,Roberto,Pug,2021/09/01
333,Rachel Perkins,Jordan,Poodle,2022/05/30
334,Mr. Martin Johnson Jr.,Debra,Bulldog,2023/11/11
335,Stephen Saunders,Heather,Poodle,2012/01/18
336,Kyle Jones,Katherine,Golden Retriever,2024/02/28
337,Deborah Scott,Dustin,Pug,2020/04/08
338,Randy Long,Mario,Golden Retriever,2012/03/07
339,Derek Montoya,Erica,Pug,2019/06/05
340,Michael Goodman,Justin,Labrador Retriever,2019/01/03
341,Shane Lopez,Edgar,Rottweiler,2009/06/18
342,Steven King,Ashley,Golden Retriever,2009/07/17
343,Christine Ramirez,Penny,Rottweiler,2014/12/29
344,Michael Wu,Jenny,Chihuahua,2023/02/10
345,Mary Green,Janet,Chihuahua,2019/05/27
346,Susan Allen,Tina,Poodle,2022/07/22
347,James Steele,Angela,Labrador Retriever,2020/09/21
348,Brenda Ellis,Kathleen,Pug,2020/12/28
349,David Trujillo,Clifford,Bulldog,2009/03/30
350,Beth Carson,Brandy,Beagle,2017/08/29
351,Robert Johnson,Jessica,Pug,2009/11/03
352,Nathan Ewing,Parker,Rottweiler,2024/09/21
353,Jeffrey Briggs,Jeffery,Bulldog,2009/11/24
354,Lisa Johnson DVM,Emma,Beagle,2021/05/07
355,Jennifer Weaver,Jesus,Dachshund,2022/02/19
356,Laura Mosley,John,German Shepherd,2021/01/17
357,Anthony Potter,Zachary,Poodle,2020/05/04
358,Jennifer Phillips,Travis,Pug,2023/02/04
359,Virginia Parsons,Shannon,Golden Retriever,2014/09/17
360,Mary Torres,Scott,Dachshund,2012/08/02
361,Robin Jensen,Kristen,Poodle,2013/06/02
362,Chelsea Kelly,Robert,Labrador Retriever,2016/05/04
363,Amanda Davis,Tiffany,Poodle,2014/08/17
364,Miranda Spencer,Gina,Dachshund,2009/03/20
365,Lisa Contreras,Christine,Pug,2021/09/02
366,Gary Reid,Mark,Rottweiler,2009/07/12
367,Stacey Nelson,Leslie,Rottweiler,2021/08/08
368,Laura Blackwell,Tammy,Pug,2018/04/10
369,Stacey Smith,Angela,Bulldog,2018/02/05
370,Evelyn Flores,Samantha,Beagle,2012/10/03
371,Joseph Richardson,Jeanette,German Shepherd,2017/09/21
372,Autumn Villanueva,Brent,Poodle,2016/03/20
373,Caitlin Burke,Justin,Pug,2023/10/04
374,Crystal Reeves,Jessica,Dachshund,2011/09/05
375,Jordan Davis,Devin,Pug,2015/04/11
376,Bruce Martin,Beverly,Poodle,2011/12/25
377,William Duncan,Tina,Pug,2021/07/30
378,Adam Kennedy,Kayla,Pug,2010/02/05
379,Tony Chen,Michelle,Rottweiler,2018/05/25
380,Larry Flowers,Benjamin,Chihuahua,2009/07/05
381,Mackenzie Washington,James,Golden Retriever,2022/09/11
382,Cassandra Barnes,Tiffany,Golden Retriever,2018/03/08
383,Michael Cook,Samantha,Rottweiler,2020/02/06
384,Paul Harvey PhD,Harold,Poodle,2013/04/16
385,Bradley Taylor,Paul,Pug,2010/12/05
386,Stephanie Morgan,Charles,Pug,2019/12/11
387,Jamie Gomez,Daniel,Bulldog,2018/02/23
388,Nathaniel Bennett,Stephanie,Bulldog,2011/08/21
389,Caitlyn Cook,Eric,Rottweiler,2014/09/11
390,Elizabeth Baker,Michelle,Poodle,2013/04/10
391,David Zimmerman,Whitney,Dachshund,2018/09/20
392,Mark Mckay,Margaret,Bulldog,2019/10/14
393,Darren Ryan,Emily,Beagle,2013/11/15
394,Gregory Pace,Sarah,Bulldog,2021/11/29
395,Todd Manning,Kimberly,Rottweiler,2012/02/08
396,Miranda Walker,Ronald,Golden Retriever,2012/05/14
397,Michael Hayes,Judith,Chihuahua,2014/10/21
398,Alex Carson,Ian,Golden Retriever,2016/10/18
399,Kathleen Massey,Angela,Bulldog,2018/08/24
400,Shannon Anderson,Manuel,Rottweiler,2021/09/26
401,Linda Ross,Tyler,Golden Retriever,2023/02/13
402,Mrs. Stephanie Nelson,Lori,Poodle,2010/04/17
403,Adam Sanchez,David,Bulldog,2019/12/14
404,Robert Nelson,Laura,Pug,2010/10/21
405,Jasmine Simpson,Patricia,Dachshund,2012/04/25
406,Christine Martin,Eric,Beagle,2024/12/24
407,Jeffrey Andrews,Stephanie,Rottweiler,2011/01/03
408,Lisa Reese,Christy,Beagle,2019/12/05
409,Thomas Norman,Curtis,Dachshund,2015/04/19
410,Darren Wells,Erin,German Shepherd,2010/08/20
411,Christopher Parker,April,Golden Retriever,2012/12/16
412,Heather Cooper,Gabriel,Bulldog,2015/12/03
413,Elizabeth Mason,Jasmine,Dachshund,2009/02/16
414,Donald Davis,Tyler,Chihuahua,2024/06/15
415,Christina Young,Daniel,Chihuahua,2014/10/14
416,Christopher Quinn,Jillian,Rottweiler,2018/10/18
417,Tara Smith,David,Golden Retriever,2024/12/14
418,Dustin Sloan,John,Labrador Retriever,2013/01/19
419,Gregory Edwards,Gregory,Bulldog,2012/02/29
420,Heather White,Mark,Labrador Retriever,2023/11/04
421,Linda Baker,Lisa,Chihuahua,2010/12/28
422,Rachel Johnson,Luke,Dachshund,2013/06/22
423,Veronica Lang,Samuel,Dachshund,2019/02/19
424,Karen Howard,Kim,Chihuahua,2016/07/12
425,Stephen Davidson,Dwayne,Poodle,2012/12/28
426,Regina Jackson,David,Labrador Retriever,2011/09/04
427,William Castaneda,Alejandro,German Shepherd,2012/03/11
428,Joshua Griffin,Dylan,Dachshund,2018/11/02
429,Cynthia Allen,Desiree,Bulldog,2014/02/24
430,Gabrielle Morris,Vicki,Beagle,2009/12/07
431,Kayla Taylor,Tammy,Bulldog,2010/11/04
432,Shannon Ramirez,Mary,Poodle,2018/04/01
433,Isabel Williams,Kevin,Bulldog,2020/10/01
434,Dr. Earl Lee,Nancy,Dachshund,2012/10/29
435,Anne Daniels,Brittney,Labrador Retriever,2022/11/15
436,William Harris,Tabitha,Rottweiler,2021/06/27
437,Kyle Branch,Lisa,Pug,2015/04/30
438,Michael Pacheco,Christopher,Rottweiler,2019/08/11
439,Diane Wright,Alexandra,Pug,2020/07/09
440,Chelsea May,Andrew,Chihuahua,2023/06/23
441,Jessica Davis,Michele,Dachshund,2022/04/13
442,Linda Larsen,William,Bulldog,2024/01/13
443,Stephen Mcgee,Christian,Labrador Retriever,2018/08/13
444,Scott Pena,Kristi,Bulldog,2014/11/27
445,Frank Jordan,James,Beagle,2011/03/12
446,Cheryl Garner,Megan,Poodle,2019/05/28
447,William Garrett,Gordon,Labrador Retriever,2010/10/07
448,Jennifer Jefferson,Brian,Bulldog,2018/08/15
449,Jessica Woods,Michael,Labrador Retriever,2011/11/08
450,David Johnson,Jamie,Chihuahua,2020/07/09
451,Michael Berry,Andrew,Rottweiler,2022/10/28
452,Laura Edwards,Brianna,German Shepherd,2010/11/03
453,Mitchell Smith,Kimberly,Pug,2023/12/16
454,James Grimes,Melissa,Chihuahua,2009/08/06
455,Jacob Crawford,Christopher,Dachshund,2024/08/25
456,Thomas House,Corey,Poodle,2022/04/11
457,Samantha Reid,Susan,Dachshund,2015/11/21
458,Savannah Willis,Colin,Golden Retriever,2024/07/02
459,Maria Edwards,Brandon,Pug,2015/08/25
460,Alison Ashley,Crystal,Pug,2023/06/03
461,Mathew Smith,Teresa,Labrador Retriever,2020/09/29
462,Matthew Miller,Briana,Beagle,2009/10/18
463,James Lawrence,Tami,Labrador Retriever,2010/02/15
464,Matthew Good,Emily,Bulldog,2023/12/06
465,Nicole Hoffman,Allison,Poodle,2018/10/20
466,Nicholas Perez,David,Beagle,2012/10/15
467,Joshua Charles,Debbie,Golden Retriever,2016/06/29
468,Teresa Nelson,Mike,Rottweiler,2022/01/11
469,Julie Carey,Ronald,Rottweiler,2023/12/19
470,Derrick Delgado,Steven,Golden Retriever,2022/11/22
471,Mr. Wayne David,Sarah,Bulldog,2019/05/07
472,Jennifer Massey,Jennifer,Chihuahua,2024/09/18
473,Ronald Phillips,William,Rottweiler,2016/06/23
474,Meghan Shelton,Shelley,Pug,2011/09/19
475,Sharon Fox,Brandon,Pug,2019/10/13
476,Peter Anderson,Stephen,Chihuahua,2010/06/02
477,William Gonzalez,Jennifer,Pug,2014/11/06
478,Marissa Baker,Jeffrey,Pug,2011/12/27
479,Dennis Cannon,Stephen,Rottweiler,2024/03/29
480,Richard Nichols,David,Poodle,2016/06/14
481,Michelle Hall,Phillip,Pug,2024/10/07
482,Carolyn Gonzales,Gordon,Poodle,2014/12/31
483,Christopher Harrison,Tonya,Pug,2018/02/13
484,Robert Estrada,David,Pug,2021/08/05
485,John Duran,Patricia,Bulldog,2019/08/23
486,Kelly Hester,Sarah,Chihuahua,2009/05/23
487,Joseph Clark,Marvin,German Shepherd,2016/10/19
488,Jeremy Jordan,Matthew,Chihuahua,2018/01/21
489,Megan Hernandez,Keith,Pug,2023/05/23
490,Marissa Stuart,John,Chihuahua,2020/05/27
